Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Lesotho;100;3;1810;1995;0.7;19;;19;7;40;139;404;88;785;13.9;159000;102;16.6
Liberia;101;3;260;3579;3.9;59;;16;4;47;169;485;270;955;4.9;47250;157;22.8
Libyan Arab Jamahiriya;102;1;11630;6039;2;85;;25;6;30;79;411;55;650;5;127000;18;
Lithuania;103;2;14550;3408;-0.5;66;2;38;21;16;161;391;136;640;127.1;3421538;7;
Luxembourg;104;2;60870;461;1;83;;38;19;18;134;177;51;406;154.8;539000;4;
Macao China;105;6;;;;;;;;;;;;;115.8;378393.75;;
Macedonia;106;2;7850;2036;0.1;70;2;35;16;19;145;504;74;745;62;776000;15;1.2
Madagascar;107;3;870;19159;2.7;27;61;18;5;44;147;430;112;837;2.7;333888;74;36.8
Malawi;108;3;690;13571;2.6;18;20.8;16;5;47;150;430;105;835;3.3;222135;79;18.4
Malaysia;109;6;12160;26114;1.8;68;;25;7;31;139;274;50;625;75.2;1.46E+07;10;
Maldives;110;7;4740;300;1.7;30;;22;6;33;123;484;70;864;87.9;113246;28;25.7
Mali;111;3;1000;11968;3;31;36.1;16;5;48;166;456;145;909;7.7;400000;120;30.1
Malta;112;1;20990;405;0.5;96;;38;19;17;124;214;24;429;80.8;289992;5;
Marshall Islands;113;6;8040;58;2.2;66;;;6;32;125;526;62;997;;;;
Mauritania;114;3;1970;3044;2.7;41;25.9;20;5;40;158;451;138;884;24.3;522400;78;30.4
Mauritius;115;3;10640;1252;0.8;42;;31;10;24;79;434;42;701;52.8;510000;13;
Mexico;116;4;11990;105342;1;76;3;26;9;30;88;163;58;503;44;3.85E+07;30;3.4
Micronesia (Federated States of);117;6;6070;111;0.5;22;;20;5;38;93;410;39;782;;;;
Moldova;118;2;2660;3833;-1.1;47;2;33;15;19;116;619;97;923;25.9;787000;17;3.2
Monaco;119;2;;33;0.3;100;;;21;18;120;115;41;325;;;;
Mongolia;120;6;2810;2605;0.9;57;10.8;25;6;28;306;488;96;968;21.1;319000;36;4.8
Montenegro;121;2;8930;601;-1.1;61;;35;18;19;;;;;;;;
Morocco;122;1;3860;30853;1.2;59;;25;8;30;67;411;48;675;40.9;9336878;36;9.9
Mozambique;123;3;660;20971;2.1;35;36.2;18;5;44;124;371;66;720;7.6;708000;100;21.2
Myanmar;124;6;510;48379;0.9;31;;27;8;27;115;432;105;796;0.3;92007;75;29.6
Namibia;125;3;4770;2047;1.3;36;;20;5;38;146;385;93;754;24.4;286095;46;20.3
Nauru;126;6;;10;0.2;100;;;6;32;138;666;132;1137;;;;
Nepal;127;7;1010;27641;2;16;24.1;20;6;38;118;436;108;796;0.8;179126;49;38.8
Netherlands;128;2;37940;16379;0.3;81;;39;20;18;155;171;23;443;97.2;1.48E+07;4;
Netherlands Antilles;129;5;;;;;;;;;;;;;78.84;175000;;
New Caledonia;130;6;;;;;;;;;;;;;56.6;101887.63;;
New Zealand;131;6;25750;4140;1;86;;36;17;21;139;175;37;423;87.6;3027000;5;
Nicaragua;132;5;2720;5532;1.3;59;45.1;21;6;37;120;305;73;655;19.2;738624;30;7.8
Niger;133;3;630;13737;3.5;17;;16;5;48;169;456;163;916;2.3;148276;150;39.9
Nigeria;134;3;1410;144720;2.4;49;70.8;18;5;44;157;452;132;889;14.1;9147209;100;27.2
Niue;135;6;;2;-2.2;33;;;8;34;74;339;39;637;;;;
Norway;136;2;50070;4669;0.6;77;;38;20;19;137;181;35;416;102.9;4163381;3;
Oman;137;1;19740;2546;1.6;71;;23;4;33;105;409;41;688;51.9;805000;10;13.1
Pakistan;138;7;2410;160943;1.8;35;17;21;6;36;107;425;99;743;8.3;5022908;79;31.3
Palau;139;6;14340;20;0.5;70;;;6;32;92;396;39;744;;;;
Panama;140;5;8690;3288;1.7;72;7.4;26;9;30;108;182;49;430;52.5;855852;19;6.3
Papua New Guinea;141;6;1630;6202;2.2;13;;20;4;40;118;442;104;815;1.3;15000;55;
Paraguay;142;5;4040;6016;1.9;59;13.6;22;7;35;141;291;57;598;30.6;1767824;20;2.8
Peru;143;5;6490;27589;1.1;73;10.5;25;8;31;175;190;69;584;20;4092558;23;5.2
Philippines;144;6;3430;86264;2;63;14.8;22;6;36;91;336;58;642;41.3;3.29E+07;25;20.7
Poland;145;2;14250;38140;-0.1;62;2;37;17;16;180;324;53;593;75.7;2.31E+07;6;
Portugal;146;2;19960;10579;0.5;58;;39;22;16;140;208;33;461;109.1;1.03E+07;4;
